text,similarity,embedding
A photo of a tennis racket,0.18544447422027588,"[-0.02, 0.02, -0.03]"
belt,0.18543852865695953,"[-0.02, 0.04, 0.05]"
shark,0.18514980375766754,"[0.01, 0.01, 0.01]"
A photo of a chair,0.1851089745759964,"[0.01, 0.01, -0.0]"
A photo of a fork,0.18457937240600586,"[0.0, 0.03, 0.01]"
A photo of a suitcase,0.1840023696422577,"[0.01, 0.01, 0.0]"
A photo of a man,0.183158278465271,"[0.01, 0.02, -0.01]"
A photo of a handbag,0.18286587297916412,"[0.03, 0.01, -0.01]"
A photo of a donut,0.1802036613225937,"[0.06, 0.04, -0.02]"
A photo of a bottle,0.17977702617645264,"[0.03, 0.04, -0.06]"
A photo of a remote,0.17886042594909668,"[0.02, 0.01, -0.04]"
A photo of a skis,0.1788538694381714,"[0.03, 0.03, -0.04]"
A photo of a knife,0.17877843976020813,"[-0.0, 0.01, 0.01]"
A photo of a frisbee,0.1781286746263504,"[0.02, 0.01, -0.04]"
A photo of a laptop,0.17741240561008453,"[0.03, 0.02, -0.01]"
whale,0.17734402418136597,"[0.03, 0.03, -0.01]"
A photo of a carrot,0.17727476358413696,"[-0.01, 0.05, -0.02]"
A photo of a table,0.17670759558677673,"[0.02, 0.05, -0.01]"
A photo of a scissors,0.17656531929969788,"[0.01, 0.02, 0.03]"
A photo of a sports ball,0.17561009526252747,"[0.03, 0.04, -0.03]"
A photo of a baseball bat,0.1739414483308792,"[0.02, 0.06, -0.01]"
A photo of a book,0.1734599769115448,"[0.04, 0.03, -0.01]"
A photo of a sandwich,0.17258961498737335,"[0.06, 0.02, -0.04]"
A photo of a toothbrush,0.17169559001922607,"[-0.0, 0.04, 0.03]"
A photo of a bed,0.17165975272655487,"[0.02, 0.05, -0.02]"
A photo of a clock,0.17138159275054932,"[0.03, 0.02, -0.01]"
A photo of a surfboard,0.17137184739112854,"[0.04, 0.04, -0.05]"
A photo of a banana,0.17115525901317596,"[0.05, 0.04, 0.01]"
A photo of a hair dryer,0.17100423574447632,"[0.01, 0.04, -0.01]"
A photo of a teddy bear,0.16903778910636902,"[0.03, 0.02, -0.03]"
A photo of a cake,0.16856704652309418,"[0.04, 0.04, -0.05]"
A photo of a keyboard,0.16631440818309784,"[0.02, 0.03, -0.02]"
A photo of a baseball glove,0.16615422070026398,"[0.04, 0.08, -0.02]"
A photo of a umbrella,0.16597025096416473,"[0.05, 0.07, -0.05]"
A photo of a skateboard,0.16560125350952148,"[0.02, 0.02, -0.04]"
A photo of a toilet,0.16537675261497498,"[-0.02, 0.06, -0.03]"
A photo of a car,0.1612064391374588,"[0.03, 0.04, -0.01]"
A photo of a pizza,0.15915364027023315,"[0.03, 0.02, -0.05]"
A photo of a broccoli,0.1569185107946396,"[0.05, 0.04, -0.03]"
A photo of a snowboard,0.1560501754283905,"[0.05, 0.02, -0.04]"
A photo of a bicycle,0.15567027032375336,"[0.03, 0.03, -0.03]"
